"geo","time","drought_affected_annual_number"
"bdi",1970,0
"bdi",1971,0
"bdi",1972,0
"bdi",1973,0
"bdi",1974,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,0
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,0
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,0
"bdi",1997,0
"bdi",1998,0
"bdi",1999,650000
"bdi",2000,0
"bdi",2001,0
"bdi",2002,0
"bdi",2003,0
"bdi",2004,0
"bdi",2005,2150000
"bdi",2006,0
"bdi",2007,0
"bdi",2008,0
"cod",1970,0
"cod",1971,0
"cod",1972,0
"cod",1973,0
"cod",1974,0
"cod",1975,0
"cod",1976,0
"cod",1977,0
"cod",1978,500000
"cod",1979,0
"cod",1980,0
"cod",1981,0
"cod",1982,0
"cod",1983,300000
"cod",1984,0
"cod",1985,0
"cod",1986,0
"cod",1987,0
"cod",1988,0
"cod",1989,0
"cod",1990,0
"cod",1991,0
"cod",1992,0
"cod",1993,0
"cod",1994,0
"cod",1995,0
"cod",1996,0
"cod",1997,0
"cod",1998,0
"cod",1999,0
"cod",2000,0
"cod",2001,0
"cod",2002,0
"cod",2003,0
"cod",2004,0
"cod",2005,0
"cod",2006,0
"cod",2007,0
"cod",2008,0
"ken",1970,0
"ken",1971,150000
"ken",1972,0
"ken",1973,0
"ken",1974,0
"ken",1975,0
"ken",1976,0
"ken",1977,0
"ken",1978,0
"ken",1979,40000
"ken",1980,0
"ken",1981,0
"ken",1982,0
"ken",1983,600000
"ken",1984,0
"ken",1985,0
"ken",1986,0
"ken",1987,0
"ken",1988,0
"ken",1989,0
"ken",1990,0
"ken",1991,2700000
"ken",1992,0
"ken",1993,0
"ken",1994,1200000
"ken",1995,0
"ken",1996,1600000
"ken",1997,0
"ken",1998,0
"ken",1999,23000000
"ken",2000,0
"ken",2001,0
"ken",2002,0
"ken",2003,0
"ken",2004,2300000
"ken",2005,3500000
"ken",2006,0
"ken",2007,0
"ken",2008,1400000
"rwa",1970,0
"rwa",1971,0
"rwa",1972,0
"rwa",1973,0
"rwa",1974,0
"rwa",1975,0
"rwa",1976,1700000
"rwa",1977,0
"rwa",1978,0
"rwa",1979,0
"rwa",1980,0
"rwa",1981,0
"rwa",1982,0
"rwa",1983,0
"rwa",1984,420000
"rwa",1985,0
"rwa",1986,0
"rwa",1987,0
"rwa",1988,0
"rwa",1989,60240
"rwa",1990,0
"rwa",1991,0
"rwa",1992,0
"rwa",1993,0
"rwa",1994,0
"rwa",1995,0
"rwa",1996,82000
"rwa",1997,0
"rwa",1998,0
"rwa",1999,894500
"rwa",2000,0
"rwa",2001,0
"rwa",2002,0
"rwa",2003,1000000
"rwa",2004,0
"rwa",2005,0
"rwa",2006,0
"rwa",2007,0
"rwa",2008,0
"tza",1970,0
"tza",1971,0
"tza",1972,0
"tza",1973,0
"tza",1974,0
"tza",1975,0
"tza",1976,0
"tza",1977,20000
"tza",1978,0
"tza",1979,0
"tza",1980,0
"tza",1981,0
"tza",1982,0
"tza",1983,0
"tza",1984,1900000
"tza",1985,0
"tza",1986,0
"tza",1987,0
"tza",1988,110000
"tza",1989,0
"tza",1990,800000
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,0
"tza",1995,0
"tza",1996,3000000
"tza",1997,0
"tza",1998,0
"tza",1999,0
"tza",2000,0
"tza",2001,0
"tza",2002,0
"tza",2003,1900000
"tza",2004,254000
"tza",2005,0
"tza",2006,0
"tza",2007,0
"tza",2008,0
"uga",1970,0
"uga",1971,0
"uga",1972,0
"uga",1973,0
"uga",1974,0
"uga",1975,0
"uga",1976,0
"uga",1977,0
"uga",1978,0
"uga",1979,500000
"uga",1980,0
"uga",1981,0
"uga",1982,0
"uga",1983,0
"uga",1984,0
"uga",1985,0
"uga",1986,0
"uga",1987,600000
"uga",1988,0
"uga",1989,0
"uga",1990,0
"uga",1991,0
"uga",1992,0
"uga",1993,0
"uga",1994,0
"uga",1995,0
"uga",1996,0
"uga",1997,0
"uga",1998,126000
"uga",1999,700100
"uga",2000,0
"uga",2001,0
"uga",2002,655100
"uga",2003,0
"uga",2004,0
"uga",2005,600000
"uga",2006,0
"uga",2007,0
"uga",2008,750000
